date,temp_max,temp_min,precipitation,wind_speed_max,temp_mean
2020-01-01,9.0,2.3,0.0,12.1,5.65
2020-01-02,10.9,0.9,0.0,7.6,5.9
2020-01-03,11.6,1.1,0.0,5.5,6.35
2020-01-04,10.1,3.0,0.1,10.8,6.55
2020-01-05,8.6,1.8,0.7,11.5,5.2
2020-01-06,10.9,1.5,0.0,10.2,6.2
2020-01-07,7.7,1.5,4.3,5.4,4.6
2020-01-08,8.8,3.2,8.2,9.0,6.0
2020-01-09,12.8,4.3,0.0,11.8,8.55
2020-01-10,10.9,3.8,0.0,7.6,7.35
2020-01-11,10.4,2.2,0.0,6.2,6.300000000000001
2020-01-12,8.7,2.3,0.0,4.7,5.5
2020-01-13,12.1,1.6,0.0,5.7,6.85
2020-01-14,11.1,3.2,0.0,6.4,7.15
2020-01-15,9.6,4.1,7.5,8.2,6.85
2020-01-16,9.2,2.5,0.0,7.8,5.85
2020-01-17,9.1,3.0,0.0,5.8,6.05
2020-01-18,5.2,1.4,3.2,10.8,3.3
2020-01-19,9.2,0.5,0.0,6.2,4.85
2020-01-20,12.2,0.4,0.0,6.4,6.3
2020-01-21,9.4,3.0,0.0,14.5,6.2
2020-01-22,8.2,-0.4,0.0,8.0,3.899999999999999
2020-01-23,6.8,2.0,5.5,5.8,4.4
2020-01-24,13.0,3.8,0.0,11.4,8.4
2020-01-25,9.6,4.2,0.0,11.6,6.9
2020-01-26,6.3,2.0,2.5,5.2,4.15
2020-01-27,6.4,1.2,3.0,9.0,3.8
2020-01-28,7.9,1.7,37.9,12.1,4.8
2020-01-29,17.4,7.8,50.2,17.7,12.6
2020-01-30,16.2,5.8,0.0,10.9,11.0
2020-01-31,9.8,3.7,0.0,15.6,6.75
2020-02-01,10.7,1.4,0.0,10.2,6.05
2020-02-02,11.2,2.5,0.0,8.4,6.85
2020-02-03,13.9,3.0,0.0,8.4,8.45
2020-02-04,10.6,2.5,0.0,7.6,6.55
2020-02-05,12.9,0.9,0.0,15.3,6.9
2020-02-06,3.5,-1.3,0.0,16.4,1.1
2020-02-07,6.4,-3.7,0.0,4.7,1.35
2020-02-08,10.8,-0.3,0.0,11.3,5.25
2020-02-09,5.6,0.3,0.0,12.9,2.9499999999999997
2020-02-10,9.3,-1.5,0.0,7.5,3.9
2020-02-11,9.9,0.2,0.0,9.2,5.05
2020-02-12,15.3,0.1,0.0,9.8,7.7
2020-02-13,17.4,5.5,0.9,6.1,11.45
2020-02-14,14.6,4.9,0.6,5.4,9.75
2020-02-15,15.8,4.5,0.0,7.0,10.15
2020-02-16,8.6,4.9,14.1,4.5,6.75
2020-02-17,15.1,5.8,1.2,9.1,10.45
2020-02-18,10.5,3.5,0.0,9.8,7.0
2020-02-19,11.4,2.9,0.0,10.6,7.15
2020-02-20,11.8,2.5,0.2,5.4,7.15
2020-02-21,12.8,3.8,0.6,7.3,8.3
2020-02-22,15.9,4.3,4.0,13.5,10.1
2020-02-23,12.9,4.6,0.0,13.4,8.75
2020-02-24,13.7,1.8,0.0,6.6,7.75
2020-02-25,13.0,4.6,0.6,7.1,8.8
2020-02-26,10.6,5.5,6.0,8.3,8.05
2020-02-27,9.8,2.5,0.2,15.5,6.15
2020-02-28,9.8,0.6,0.0,8.7,5.2
2020-02-29,12.4,3.3,1.0,5.0,7.85
2020-03-01,16.3,5.4,1.9,8.2,10.85
2020-03-02,9.9,5.0,4.6,9.0,7.45
2020-03-03,15.6,2.2,0.0,10.9,8.9
2020-03-04,9.3,5.8,4.1,7.0,7.550000000000001
2020-03-05,12.4,5.0,4.2,18.8,8.7
2020-03-06,13.1,3.2,0.0,9.7,8.15
2020-03-07,10.4,4.0,0.0,6.3,7.2
2020-03-08,8.4,4.9,3.3,8.8,6.65
2020-03-09,17.9,7.2,0.0,9.4,12.55
2020-03-10,15.0,10.2,18.2,8.9,12.6
2020-03-11,18.9,9.1,0.0,12.6,14.0
2020-03-12,14.4,5.2,0.0,10.8,9.8
2020-03-13,18.0,3.6,0.0,8.3,10.8
2020-03-14,8.9,1.5,22.9,8.2,5.2
2020-03-15,10.4,1.4,0.0,8.5,5.9
2020-03-16,12.4,2.5,0.0,20.6,7.45
2020-03-17,11.9,0.1,0.0,9.8,6.0
2020-03-18,16.8,4.7,0.0,8.4,10.75
2020-03-19,20.1,3.4,3.7,15.3,11.75
2020-03-20,17.4,7.6,0.1,17.6,12.5
2020-03-21,20.6,3.8,0.0,10.2,12.2
2020-03-22,23.4,5.6,0.0,13.9,14.5
2020-03-23,13.9,7.8,0.0,9.9,10.85
2020-03-24,10.2,4.5,0.0,14.7,7.35
2020-03-25,14.0,1.6,0.0,7.5,7.8
2020-03-26,18.2,4.4,0.0,6.8,11.3
2020-03-27,18.9,5.2,0.9,14.7,12.05
2020-03-28,19.7,8.1,4.8,10.6,13.9
2020-03-29,7.7,0.9,50.6,10.7,4.3
2020-03-30,10.6,3.6,0.0,5.4,7.1
2020-03-31,10.7,6.2,0.0,5.7,8.45
2020-04-01,12.3,8.1,19.4,8.4,10.2
